,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
548,KSR2,549.860731007682,2.85471708208254,0.8258691118114521,3.45662168648134,0.000546992178836441,0.0500971106449455
474,HNRNPCP9,354.939453728764,2.8611937238595804,0.8081405974300441,3.5404652766590603,0.000399422190723865,0.0422807308879719
467,FAM118B,521.92822328935,2.86638770181844,0.8086581146733859,3.5446224427935897,0.00039317584025351,0.0421709138146338
542,RPL39P33,317.511989959263,2.87660907036408,0.829632868553565,3.46732775351505,0.000525660515691454,0.0486753892992302
427,RPL7P46,365.902476186871,2.88750171797306,0.8055434412599499,3.58453879713392,0.000337674369457154,0.0398594895377384
475,CYP11B1,500.256227045983,2.89171074495916,0.8171279720973299,3.53887131967467,0.000401841685892436,0.0424474827906672
410,CCR3,471.14288725549596,2.89592115514194,0.804666939014294,3.5989065969199707,0.000319557927986911,0.0387173305472527
490,LRRC4C,515.310383873335,2.89713891425928,0.82196182825794,3.5246635727591604,0.000424020935521687,0.0434219891221303
522,PDE6A,528.624431033816,2.9042677126940095,0.8323301857984449,3.48932162049124,0.000484248132909604,0.0465554117989059
396,HMGB4,384.61865266279096,2.9120220532357,0.8051235152113679,3.6168637460194,0.000298194168957767,0.0376721130888581
525,CCDC148-AS1,249.99732037486697,2.91338085531348,0.8357570628070429,3.48591831880949,0.000490450734595577,0.0468828011144491
486,DAZ4,288.338996192171,2.91350765794261,0.8247322933619109,3.53267076043073,0.00041138445223258703,0.0429754727912254
437,S100A7,579.434465556296,2.91634962619146,0.817025371845086,3.5694725362144797,0.00035770071286882996,0.0409693611475117
424,GPATCH3,422.74138451127294,2.92210118154875,0.8154794091813969,3.58329241504951,0.000339290418292239,0.0398594895377384
416,MIR5189,465.67209148565905,2.9241203138148397,0.8131814706179559,3.5959013079733997,0.000323270350159207,0.0389792721255518
484,ZNF571,321.382488096348,2.92860065855016,0.8296705663644759,3.5298355483224704,0.000415818044273332,0.0429754727912254
469,SSTR3,527.873845840874,2.9302103155456503,0.8260998492377489,3.54704133919088,0.000389583455530823,0.0421709138146338
501,SLCO1A2,304.195678446063,2.93572668896727,0.836145533644315,3.51102358482021,0.000446384793015459,0.0446216178481318
388,GPC4,441.15468120241303,2.93939049581109,0.808441291246551,3.6358737828430097,0.000277039962774845,0.0358294231015131
310,MYO5BP1,312.015952535648,2.94270245638662,0.781816330338437,3.76393066017535,0.000167263281268129,0.027042331335829
529,VN1R80P,341.92817710113303,2.9488796320255797,0.848021670505291,3.4773635327838903,0.000506370747127771,0.0480392972383613
205,VN1R48P,331.900967653737,2.95728870823849,0.7488462001942371,3.9491269468569397,7.843674829486121e-05,0.0186913655972223
329,IGKV3-11,495.79254448650903,2.9617993692321605,0.796291861739606,3.7194896890716804,0.000199625696091812,0.0304163018945224
389,SPINK4,406.463029015542,2.9679317919729002,0.8174297629615591,3.63080955263978,0.000282533614917364,0.0364258274145127
